HOMEPASS_ID,CLUSTER_NAME,PREFIX_ADDRESS,STREET_NAME,HOUSE_NUMBER,BLOCK,FLOOR,RT,RW,DISTRICT,SUB_DISTRICT,FDT_CODE,FAT_CODE,BUILDING_LATITUDE,BUILDING_LONGITUDE,Category BizPass,POST CODE,ADDRESS POLE / FAT,OV_UG,HOUSE_COMMENT_,BUILDING_NAME,TOWER,APTN,FIBER_NODE__HFC_,ID_Area,Clamp_Hook_ID,DEPLOYMENT_TYPE,NEED_SURVEY
-,PERUMAHAN MANYARAN,JL.,-,31,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.009896,110.383339,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,14R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,34,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.010059,110.383475,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,14R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,35,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.009986,110.38326,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,14R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,36,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.010124,110.38339,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,14R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,37,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.010127,110.383139,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,14R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,76,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.009747,110.383229,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,15R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,78,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.0099,110.383188,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,15R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,?-01,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A01,-7.009173,110.382921,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,24R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,-,35B,-,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.010042,110.383212,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,14R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,BLK A,18,A,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.00981,110.382755,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,19R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,BLK A,19,A,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.009762,110.382791,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,19R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,BLK A,20,A,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A05,-7.009705,110.38284,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,19R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,BLK A,21,A,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A04,-7.009656,110.382874,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,20R,FAT EXT,YES
-,PERUMAHAN MANYARAN,JL.,BLK A,22,A,-,009,06,SEMARANG,SEMARANG BARAT,FWS18900,FWS189S01A04,-7.009618,110.382901,RESIDENCE,50147,-,O,NEED SURVEY,-,-,-,-,LN33SMG00454AS-01,20R,FAT EXT,YES
