Pole ID (New),Coordinate (Lat) NEW,Coordinate (Long) NEW,Pole Provider (New),Pole Type,LINE
9A,-6.967637,110.39854,LN (Existing),Pole 7/250,LINE A
8A,-6.967744,110.397746,LN (Existing),Pole 7/250,LINE A
7A,-6.967611,110.399114,LN (Existing),Pole 7/250,LINE A
6A,-6.968014,110.39908,LN (Existing),Pole 7/250,LINE A
21A,-6.968053,110.39867,LN (Existing),Pole 7/250,LINE A
5A,-6.968087,110.398329,LN (Existing),Pole 7/250,LINE A
4A,-6.968129,110.397853,LN (Existing),Pole 7/250,LINE A
3A,-6.968137,110.39779,LN (Existing),Pole 7/250,LINE A
2A,-6.967925,110.397779,LN (Existing),Pole 7/250,LINE A
1A,-6.967744,110.397746,LN (Existing),Pole 7/250,LINE A
