HOMEPASS_ID,CLUSTER_NAME,PREFIX_ADDRESS,STREET_NAME,HOUSE_NUMBER,BLOCK,FLOOR,RT,RW,DISTRICT,SUB_DISTRICT,FDT_CODE,FAT_CODE,BUILDING_LATITUDE,BUILDING_LONGITUDE,Category BizPass,POST CODE,ADDRESS POLE / FAT,OV_UG,HOUSE_COMMENT_,BUILDING_NAME,TOWER,APTN,FIBER_NODE__HFC_,ID_Area,Clamp_Hook_ID,DEPLOYMENT_TYPE,NEED_SURVEY
-,MAKAMHAJI,JL.,BENOWO 3,?-32,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.574549,110.78188,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,15R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-31,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.573799,110.7823,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,18R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-30,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.573799,110.78236,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,18R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-29,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.573869,110.78235,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,18R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-28,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.573900,110.78226,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,18R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-27,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.57396,110.78236,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,18R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-26,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.574009,110.78222,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,18R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-25,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.574099,110.78233,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,17R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-24,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A03,-7.574099,110.78223,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,17R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-23,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.573942,110.782849,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,20R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-22,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.573820,110.78276,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,20R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-20,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.573849,110.78265,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,20R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-19,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.574199,110.78277,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,19R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-18,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.574000,110.78264,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,19R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-17,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.574199,110.78262,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,19R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-16,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.574109,110.78264,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,19R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-15,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A04,-7.57391,110.78279,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,20R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-14,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.574810,110.78186,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-13,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.574819,110.78194,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-12,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.574759,110.78185,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-11,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.574720,110.782,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-09,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.57463,110.78203,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-08,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.57468,110.78186,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-06,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S01A02,-7.574589,110.78201,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,15R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-05,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S02B01,-7.574659,110.78052,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-03,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S02B01,-7.574510,110.78041,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
-,MAKAMHAJI,JL.,BENOWO 3,?-01,-,-,-,-,KARTASURA,MAKAMHAJI,FKS10800,FKS108S02B01,-7.574340,110.78028,RESIDENCE,57161,-,O,NEED SURVEY,-,-,-,-,LN33SKH00096AS-01,16R,FAT EXT,YES
